Plate,State,License Type,Issue Date,Violation Time,Violation,Payment Amount,Precinct,County
KFY2799,NY,PAS,2021-03-16,09:00A,NO PARKING-STREET CLEANING,65.0,90.0,K
GTC3973,NY,PAS,2021-06-30,04:40P,CROSSWALK,0.0,109.0,Q
46960JY,NY,COM,2021-12-20,12:54A,NGHT PKG ON RESID STR-COMM VEH,0.0,62.0,K
KJA5329,NY,PAS,2021-01-05,08:39A,NO PARKING-STREET CLEANING,65.0,67.0,K
JHG1510,NY,PAS,2021-01-02,08:22A,NO PARKING-STREET CLEANING,65.0,79.0,K
JFX7167,NY,PAS,2021-01-02,08:26A,NO PARKING-STREET CLEANING,65.0,79.0,K
JNB5339,NY,PAS,2021-01-07,11:22A,NO PARKING-STREET CLEANING,65.0,79.0,K
HYY5391,NY,PAS,2021-03-05,11:14A,NO PARKING-STREET CLEANING,65.0,81.0,K
7N95L3,TN,PAS,2021-01-22,02:34A,NO PARKING-STREET CLEANING,65.0,67.0,K
GWM3356,NY,PAS,2021-01-15,09:57A,NO PARKING-STREET CLEANING,65.0,79.0,K
JAT7384,NY,PAS,2021-01-22,08:45A,NO PARKING-STREET CLEANING,65.0,83.0,K
FDV9587,NY,PAS,2021-02-27,07:41A,NO PARKING-STREET CLEANING,0.0,73.0,K
JBB5982,NY,PAS,2021-03-05,09:10A,NO PARKING-STREET CLEANING,65.0,73.0,K
HXY3658,NY,PAS,2021-03-08,08:17A,NO PARKING-STREET CLEANING,65.0,71.0,K
KJR8593,NY,PAS,2021-03-10,08:07A,NO PARKING-STREET CLEANING,65.0,73.0,K
KDJ6184,NY,PAS,2021-02-25,09:24A,NO PARKING-STREET CLEANING,65.0,73.0,K
JNS2675,NY,PAS,2021-01-26,12:38P,FIRE HYDRANT,115.0,71.0,K
HJK9947,NY,PAS,2021-03-12,08:20A,NO PARKING-STREET CLEANING,65.0,75.0,K
KEM2021,NY,PAS,2021-02-28,12:35A,DOUBLE PARKING,115.0,34.0,NY
NTY551,SC,PAS,2021-01-08,10:50A,DOUBLE PARKING,115.0,34.0,
ZHC2546,NY,PAS,2021-01-17,11:15P,NO PARKING-DAY/TIME LIMITS,60.0,32.0,NY
33794MM,NY,COM,2021-02-24,10:54A,DOUBLE PARKING,35.0,23.0,NY
KHT9398,NY,PAS,2021-01-20,01:07P,NO STANDING-BUS STOP,115.0,19.0,NY
AK06637,AZ,PAS,2021-02-18,05:46P,NO STANDING-EXC. AUTH. VEHICLE,95.0,19.0,NY
E57FHR,NJ,PAS,2021-03-03,08:09A,FAIL TO DSPLY MUNI METER RECPT,35.0,19.0,NY
GAV4320,NY,PAS,2021-01-11,09:12A,NO PARKING-DAY/TIME LIMITS,0.0,102.0,Q
JUW6928,NY,PAS,2021-02-07,09:18P,DOUBLE PARKING,115.0,28.0,
KEL3164,NY,PAS,2021-02-12,07:51A,FAIL TO DSPLY MUNI METER RECPT,35.0,19.0,NY
JLP8696,NY,PAS,2021-05-07,10:24P,OBSTRUCTING DRIVEWAY,95.0,111.0,Q
KFL8429,NY,PAS,2021-03-06,04:26A,NO PARKING-DAY/TIME LIMITS,60.0,19.0,NY
KFL8429,NY,PAS,2021-03-04,08:07A,NO PARKING-DAY/TIME LIMITS,60.0,19.0,NY
JSA9126,NY,PAS,2021-01-26,08:34A,FRONT OR BACK PLATE MISSING,0.0,106.0,Q
KFL8429,NY,PAS,2021-03-07,07:15A,NO PARKING-DAY/TIME LIMITS,60.0,19.0,NY
C90DEB,NJ,PAS,2021-03-05,10:07A,FAIL TO DSPLY MUNI METER RECPT,35.0,19.0,NY
