Plate,State,License Type,Issue Date,Violation Time,Violation,Payment Amount,Precinct,County
JDN8644,NY,PAS,2021-03-08,11:58A,NO PARKING-STREET CLEANING,65.0,67.0,K
KGF1567,NY,PAS,2021-03-12,08:37A,NO PARKING-STREET CLEANING,65.0,67.0,K
HSZ5788,NY,PAS,2021-03-12,11:40A,NO PARKING-STREET CLEANING,65.0,67.0,K
KFT8375,NY,PAS,2021-03-12,11:52A,NO PARKING-STREET CLEANING,65.0,67.0,K
KKD3012,NY,PAS,2021-03-11,11:36A,NO PARKING-STREET CLEANING,65.0,90.0,K
XSE2746,VA,PAS,2021-03-10,08:45A,NO PARKING-STREET CLEANING,65.0,90.0,K
A99KYS,NJ,PAS,2021-03-03,07:48A,NO PARKING-STREET CLEANING,65.0,94.0,K
HHB9424,NY,PAS,2021-03-11,11:41A,NO PARKING-STREET CLEANING,65.0,90.0,K
GNK7313,NY,PAS,2021-03-12,12:57P,NO PARKING-STREET CLEANING,65.0,79.0,K
T706707C,NY,OMT,2021-02-28,01:56P,FIRE HYDRANT,115.0,62.0,K
T784013C,NY,OMT,2021-03-10,12:03P,NO PARKING-STREET CLEANING,65.0,49.0,BX
Z67HLN,NJ,PAS,2021-05-07,07:10P,NO STANDING-DAY/TIME LIMITS,115.0,1.0,
HNB6157,NY,PAS,2021-02-25,07:43A,NO PARKING-STREET CLEANING,65.0,47.0,BX
GES1764,NY,PAS,2021-03-03,07:37A,NO PARKING-STREET CLEANING,65.0,40.0,BX
HWG8357,NY,PAS,2021-03-11,07:46A,NO PARKING-STREET CLEANING,65.0,43.0,BX
KEX3859,NY,PAS,2021-05-14,12:42A,OBSTRUCTING DRIVEWAY,95.0,41.0,BX
JNA8964,NY,PAS,2021-03-05,07:30A,NO PARKING-STREET CLEANING,65.0,52.0,BX
KKN9366,NY,PAS,2021-05-11,08:06A,FIRE HYDRANT,115.0,50.0,BX
Y01QZZ,FL,PAS,2021-05-12,08:04A,FIRE HYDRANT,115.0,50.0,BX
KLW7669,NY,PAS,2021-05-12,08:33A,NO PARKING-DAY/TIME LIMITS,60.0,50.0,BX
KKT4233,NY,PAS,2021-05-17,09:30A,NO STANDING-DAY/TIME LIMITS,115.0,50.0,BX
JMR8437,NY,PAS,2021-05-16,04:57P,DOUBLE PARKING,115.0,0.0,BX
GLR8533,99,PAS,2021-05-16,05:38A,FIRE HYDRANT,115.0,42.0,BX
KEK4882,NY,PAS,2021-03-04,08:55A,NO PARKING-STREET CLEANING,65.0,48.0,BX
HEN3722,NC,PAS,2021-03-11,08:32A,NO PARKING-STREET CLEANING,65.0,42.0,BX
AK20531,AZ,PAS,2021-02-25,08:30A,NO STANDING-DAY/TIME LIMITS,115.0,50.0,BX
KZL9452,PA,PAS,2021-03-02,07:52A,NO PARKING-STREET CLEANING,65.0,50.0,BX
KLF1115,NY,PAS,2021-05-13,07:55A,OBSTRUCTING DRIVEWAY,0.0,42.0,BX
HRX6717,NY,PAS,2021-05-12,00:28A,OBSTRUCTING DRIVEWAY,95.0,41.0,BX
HAP4284,NY,PAS,2021-05-11,05:05A,FIRE HYDRANT,115.0,49.0,BX
KLH3820,NY,PAS,2021-05-15,11:30P,DOUBLE PARKING,115.0,49.0,
M20LXC,NY,PAS,2021-05-12,09:27A,OBSTRUCTING DRIVEWAY,95.0,48.0,BX
KFX6623,NY,999,2021-05-11,06:17P,FIRE HYDRANT,115.0,40.0,BX
BLANKPLATE,99,999,2021-05-14,06:55A,NO STANDING-DAY/TIME LIMITS,115.0,25.0,
JBP4196,NY,PAS,2021-05-11,09:38A,NO STANDING-BUS STOP,115.0,32.0,NY
JRF4574,NY,PAS,2021-03-02,09:51A,NO PARKING-STREET CLEANING,65.0,50.0,BX
GJJ4011,NY,PAS,2021-01-26,01:49P,INSP. STICKER-EXPIRED/MISSING,0.0,111.0,Q
KEV3319,NY,PAS,2021-03-08,05:12P,NO STANDING-EXC. AUTH. VEHICLE,95.0,108.0,Q
KEL6566,NY,PAS,2021-03-12,05:01P,OBSTRUCTING DRIVEWAY,95.0,66.0,K
JJZ3609,NY,PAS,2021-02-25,09:05A,NO PARKING-STREET CLEANING,65.0,43.0,BX
JJZ7380,NY,PAS,2021-03-11,08:07A,NO PARKING-STREET CLEANING,65.0,43.0,BX
UUH8527,VA,PAS,2021-01-25,12:49P,FAIL TO DSPLY MUNI METER RECPT,0.0,114.0,Q
JBE9294,NY,PAS,2021-03-04,08:09A,NO PARKING-STREET CLEANING,65.0,43.0,BX
JBS4925,NY,PAS,2021-03-09,07:41A,NO PARKING-STREET CLEANING,65.0,43.0,BX
D29HWV,NJ,PAS,2021-03-16,08:25A,NO PARKING-STREET CLEANING,65.0,43.0,BX
ZRD3739,PA,PAS,2021-03-11,10:51A,NO PARKING-STREET CLEANING,65.0,40.0,BX
68621MB,NY,COM,2021-05-14,03:58P,DOUBLE PARKING,0.0,19.0,NY
XFWF23,NJ,PAS,2021-05-14,04:15P,NO STANDING-DAY/TIME LIMITS,115.0,17.0,NY
AML8647,NC,PAS,2021-05-06,09:09P,NO STANDING-DAY/TIME LIMITS,115.0,42.0,BX
GUY9923,NY,PAS,2021-05-11,01:12P,NO PARKING-DAY/TIME LIMITS,65.0,10.0,NY
NER66T,NJ,PAS,2021-05-15,07:31A,NO STANDING-EXC. AUTH. VEHICLE,95.0,10.0,NY
843XPD,CT,PAS,2021-05-15,03:13P,NO STANDING-EXC. AUTH. VEHICLE,95.0,10.0,NY
KLD2549,NY,PAS,2021-05-02,02:59P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
KFL7392,NY,PAS,2021-03-05,11:38A,NO PARKING-STREET CLEANING,65.0,41.0,BX
JGG4884,99,PAS,2021-03-11,05:41A,NO PARKING-STREET CLEANING,65.0,41.0,BX
GUV9084,NY,PAS,2021-03-09,07:43A,NO PARKING-STREET CLEANING,65.0,47.0,BX
HGR3689,NY,PAS,2021-03-13,07:37A,NO PARKING-STREET CLEANING,65.0,47.0,BX
EKLT09,FL,PAS,2021-03-12,08:40A,NO PARKING-STREET CLEANING,65.0,50.0,BX
KHR4245,NY,PAS,2021-03-08,12:31P,NO PARKING-STREET CLEANING,65.0,50.0,BX
HYR3249,NY,PAS,2021-05-02,11:50A,NO PARKING-DAY/TIME LIMITS,60.0,109.0,Q
UNF5501,VA,PAS,2021-05-17,05:20A,FIRE HYDRANT,115.0,49.0,BX
UDW5314,VA,PAS,2021-05-12,08:08A,FIRE HYDRANT,115.0,41.0,
HXX1751,NY,PAS,2021-03-05,11:40A,NO PARKING-STREET CLEANING,65.0,50.0,BX
KDP3389,NY,PAS,2021-03-26,11:36A,NO PARKING-DAY/TIME LIMITS,60.0,19.0,NY
295056,99,999,2021-05-07,11:35A,NO PARKING-STREET CLEANING,65.0,40.0,BX
S69JAE,NJ,PAS,2021-05-16,03:18A,OBSTRUCTING DRIVEWAY,95.0,114.0,Q
KLF9424,NY,PAS,2021-05-16,08:35P,DOUBLE PARKING,115.0,108.0,Q
HMC9902,NY,PAS,2021-03-21,12:40A,OBSTRUCTING DRIVEWAY,95.0,109.0,Q
AY75618,CT,999,2021-02-14,11:22A,NO PARKING-DAY/TIME LIMITS,65.0,10.0,NY
KLX5326,NY,PAS,2021-05-11,12:39P,NO STANDING-EXC. AUTH. VEHICLE,95.0,108.0,Q
CGN1114,NY,PAS,2021-05-16,03:29A,REG. STICKER-EXPIRED/MISSING,65.0,104.0,Q
KME3219,NY,PAS,2021-05-11,06:50A,DOUBLE PARKING,115.0,104.0,Q
JMJ1839,NY,PAS,2021-05-12,10:32P,OBSTRUCTING DRIVEWAY,95.0,104.0,Q
HTZ4014,NY,PAS,2021-05-02,03:52P,NO PARKING-DAY/TIME LIMITS,0.0,110.0,Q
JFW7170,NY,PAS,2021-05-02,11:50A,SIDEWALK,115.0,25.0,NY
ATD4259,NY,PAS,2021-03-12,07:53A,NO PARKING-STREET CLEANING,65.0,50.0,BX
XG522,RI,PAS,2021-05-02,03:06P,NO STANDING-DAY/TIME LIMITS,115.0,25.0,NY
AEP7575,NY,PAS,2021-05-02,03:19P,NO STANDING-DAY/TIME LIMITS,115.0,25.0,NY
JBE6387,NY,PAS,2021-05-02,04:54P,NO STANDING-DAY/TIME LIMITS,115.0,25.0,NY
HUG8459,NY,PAS,2021-05-02,05:01P,NO STANDING-DAY/TIME LIMITS,115.0,25.0,NY
JNF1759,NY,PAS,2021-05-02,06:05P,SAFETY ZONE,115.0,25.0,NY
BCD6000,NY,PAS,2021-05-02,03:16P,NO STANDING-DAY/TIME LIMITS,115.0,25.0,NY
V24MNB,NJ,PAS,2021-05-02,04:53P,NO STANDING-DAY/TIME LIMITS,115.0,25.0,NY
EHN9066,NY,PAS,2021-05-08,11:41A,SIDEWALK,115.0,25.0,NY
D24LXR,NJ,PAS,2021-05-02,01:28P,NO STANDING-DAY/TIME LIMITS,115.0,25.0,NY
JGZ1232,NY,PAS,2021-02-25,12:10P,NO PARKING-STREET CLEANING,65.0,42.0,BX
8XT198,MA,PAS,2021-03-04,08:25A,NO PARKING-STREET CLEANING,65.0,42.0,BX
HLF1865,NY,PAS,2021-05-02,02:32P,NO STANDING-DAY/TIME LIMITS,115.0,25.0,NY
FAM2046,NY,PAS,2021-05-07,01:36P,NO STANDING-DAY/TIME LIMITS,115.0,25.0,NY
DKN6471,NY,PAS,2021-03-12,07:45A,NO PARKING-STREET CLEANING,65.0,42.0,BX
JFM7472,NY,PAS,2021-02-27,07:39A,NO PARKING-STREET CLEANING,65.0,43.0,BX
KGS5385,NY,PAS,2021-03-04,09:40A,NO PARKING-STREET CLEANING,65.0,46.0,BX
C87JMT,NJ,PAS,2021-05-02,01:51P,SIDEWALK,115.0,25.0,NY
FXZ7058,NY,PAS,2021-05-02,01:04P,NO PARKING-DAY/TIME LIMITS,60.0,25.0,NY
JFT8460,NY,PAS,2021-05-02,02:22A,NO PARKING-DAY/TIME LIMITS,60.0,25.0,NY
HKN4780,NY,PAS,2021-05-02,03:04P,NO STANDING-DAY/TIME LIMITS,115.0,25.0,NY
T788556C,NY,OMT,2021-05-02,09:04A,NIGHTTIME STD/ PKG IN A PARK,95.0,43.0,BX
JAU2140,NY,PAS,2021-05-02,04:40P,NO PARKING-DAY/TIME LIMITS,60.0,50.0,BX
DZC3279,NY,PAS,2021-05-17,07:40A,DOUBLE PARKING,115.0,76.0,K
10438,RI,PAS,2021-05-16,12:04P,NO STANDING-DAY/TIME LIMITS,115.0,10.0,NY
V44LBT,NJ,PAS,2021-05-13,08:19A,OBSTRUCTING DRIVEWAY,95.0,108.0,Q
HJP4896,NY,PAS,2021-05-13,05:00P,NO PARKING-DAY/TIME LIMITS,60.0,108.0,Q
LNF3804,TX,PAS,2021-05-09,05:15A,OBSTRUCTING DRIVEWAY,95.0,108.0,Q
FWB2961,NY,PAS,2021-05-15,10:55A,NO STANDING-DAY/TIME LIMITS,115.0,114.0,Q
C92MJW,NJ,PAS,2021-05-02,05:08A,FIRE HYDRANT,115.0,114.0,Q
UFC9080,VA,PAS,2021-02-25,12:10P,NO PARKING-STREET CLEANING,65.0,46.0,BX
NXZG17,FL,PAS,2021-03-16,08:48A,NO PARKING-STREET CLEANING,65.0,63.0,K
ENM8281,NY,PAS,2021-03-17,08:51A,NO PARKING-STREET CLEANING,65.0,72.0,K
KHF4949,MA,COM,2021-03-17,09:23A,NO PARKING-STREET CLEANING,65.0,78.0,R
EKU1970,NY,PAS,2021-03-15,09:11A,NO PARKING-STREET CLEANING,65.0,76.0,K
JBX3913,NY,PAS,2021-03-15,09:16A,NO PARKING-STREET CLEANING,65.0,76.0,K
HSZ4060,NY,PAS,2021-03-13,07:44A,NO PARKING-STREET CLEANING,65.0,76.0,K
ASV1500,NY,PAS,2021-03-17,09:27A,NO PARKING-STREET CLEANING,65.0,78.0,K
3CE2016,ME,PAS,2021-03-16,08:14A,NO PARKING-STREET CLEANING,65.0,78.0,K
XAK9939,VA,PAS,2021-03-17,09:19A,NO PARKING-STREET CLEANING,65.0,78.0,K
DGC5982,NY,PAS,2021-03-11,12:00P,NO PARKING-STREET CLEANING,65.0,62.0,K
T749085C,NY,OMT,2021-03-09,07:38A,NO PARKING-STREET CLEANING,65.0,62.0,K
HDC7377,NY,PAS,2021-03-09,07:47A,NO PARKING-STREET CLEANING,65.0,62.0,K
CL27573,IL,PAS,2021-03-05,11:39A,NO PARKING-STREET CLEANING,65.0,62.0,K
GWF8667,NY,PAS,2021-05-16,08:48A,FRONT OR BACK PLATE MISSING,0.0,10.0,NY
KDE2143,NY,PAS,2021-03-05,07:44A,NO PARKING-STREET CLEANING,65.0,62.0,K
JSF7506,NY,PAS,2021-03-12,08:10A,NO PARKING-STREET CLEANING,65.0,62.0,K
CL27573,IL,PAS,2021-03-12,11:49A,NO PARKING-STREET CLEANING,65.0,62.0,K
GRA5694,NY,PAS,2021-03-02,09:13A,NO PARKING-STREET CLEANING,65.0,78.0,K
JDS2494,NY,PAS,2021-03-05,09:38A,NO PARKING-STREET CLEANING,65.0,76.0,K
HGM6677,NY,PAS,2021-03-04,09:20A,NO PARKING-STREET CLEANING,65.0,66.0,
GHZ272,NY,PAS,2021-03-15,08:45A,NO PARKING-STREET CLEANING,65.0,66.0,K
KNR7444,PA,PAS,2021-03-11,09:20A,NO PARKING-STREET CLEANING,65.0,66.0,K
ARD1334,NY,PAS,2021-03-10,09:43A,NO PARKING-STREET CLEANING,65.0,66.0,K
GRE9604,NY,PAS,2021-03-12,07:50A,NO PARKING-STREET CLEANING,65.0,66.0,K
AX79758,CT,999,2021-03-16,09:09A,NO PARKING-STREET CLEANING,65.0,69.0,K
FPZ1272,PA,PAS,2021-05-16,09:43A,FRONT OR BACK PLATE MISSING,65.0,10.0,NY
JGM5497,NY,PAS,2021-05-04,03:45P,NO STANDING-DAY/TIME LIMITS,115.0,84.0,K
1SJV14,MA,999,2021-05-06,10:19A,OBSTRUCTING DRIVEWAY,95.0,94.0,K
KGS7230,NY,PAS,2021-05-02,04:34P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
DNC4963,NY,PAS,2021-03-15,07:38A,NO PARKING-STREET CLEANING,0.0,60.0,K
EN909Y,NY,PAS,2021-03-09,09:07A,NO PARKING-EXC. AUTH. VEHICLE,60.0,66.0,K
JDZ9389,NY,PAS,2021-03-09,04:56P,NO PARKING-DAY/TIME LIMITS,60.0,52.0,BX
JMW1426,NY,PAS,2021-05-02,04:54P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
AG72204,CT,PAS,2021-05-02,04:59P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
KJY5703,NY,PAS,2021-05-02,04:34P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
JRC4364,NY,PAS,2021-05-02,04:17P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
GYM6418,NY,PAS,2021-05-02,03:25P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
JRC7360,NY,PAS,2021-05-02,03:31P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
AY31507,NY,PAS,2021-05-02,03:34P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
T682740C,NY,OMT,2021-05-02,03:36P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
HYS4820,NY,PAS,2021-05-02,03:47P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
JJM2468,NY,PAS,2021-05-02,03:59P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
HCL1992,NY,PAS,2021-05-02,02:44P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
KGG3094,NY,PAS,2021-02-09,09:39A,OBSTRUCTING DRIVEWAY,95.0,108.0,Q
JRW1845,NY,PAS,2021-05-02,02:50P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
934YTM,CT,PAS,2021-05-02,04:00P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
KKG3236,NY,PAS,2021-05-02,04:24P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
HVY8308,NY,PAS,2021-05-02,04:28P,NO PARKING-DAY/TIME LIMITS,60.0,120.0,Q
KEH3049,NY,PAS,2021-05-02,05:06P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
GVZ2685,NY,PAS,2021-03-08,11:40A,NO PARKING-STREET CLEANING,65.0,50.0,BX
JGZ9947,NY,PAS,2021-05-02,05:04P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
KEF7599,NY,PAS,2021-03-05,12:10P,NO PARKING-STREET CLEANING,65.0,50.0,BX
JNB1833,NY,PAS,2021-05-02,04:30P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
KKT1206,NY,PAS,2021-05-02,06:32A,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
FER1320,NY,PAS,2021-05-02,04:30P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
JCJ6076,NY,PAS,2021-05-02,04:16P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
FPA1551,NY,PAS,2021-05-02,04:35P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
JMZ8472,NY,PAS,2021-05-02,05:04P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
JRU2230,NY,PAS,2021-05-02,04:32P,NO PARKING-DAY/TIME LIMITS,60.0,110.0,Q
HFL4696,NC,PAS,2021-03-09,01:37P,NON-COMPLIANCE W/ POSTED SIGN,65.0,6.0,NY
T778538C,NY,PAS,2021-05-14,09:10A,OBSTRUCTING DRIVEWAY,0.0,104.0,
V86KBB,NJ,PAS,2021-05-15,12:33P,NO STANDING-DAY/TIME LIMITS,115.0,104.0,Q
QDMI11,FL,PAS,2021-05-10,09:57P,OBSTRUCTING DRIVEWAY,95.0,104.0,Q
JSF7692,NY,PAS,2021-05-16,07:55P,FIRE HYDRANT,115.0,104.0,Q
37408MM,NY,COM,2021-05-16,12:54A,FIRE HYDRANT,115.0,104.0,Q
37408MM,NY,COM,2021-05-16,00:54A,NGHT PKG ON RESID STR-COMM VEH,65.0,104.0,
LPE3386,PA,PAS,2021-05-05,08:55P,OBSTRUCTING DRIVEWAY,95.0,109.0,Q
KHH5077,99,PAS,2021-05-06,10:15P,OBSTRUCTING DRIVEWAY,95.0,104.0,Q
JRC1814,NY,PAS,2021-05-10,06:45A,OBSTRUCTING DRIVEWAY,95.0,108.0,Q
T748494C,NY,OMT,2021-05-08,04:20A,FIRE HYDRANT,115.0,109.0,Q
DBP6956,NY,PAS,2021-05-10,02:25A,OBSTRUCTING DRIVEWAY,95.0,109.0,Q
11219,NY,COM,2021-05-13,00:17A,NGHT PKG ON RESID STR-COMM VEH,65.0,104.0,NY
KLX4285,NY,PAS,2021-05-06,01:24A,FIRE HYDRANT,115.0,104.0,Q
65417MN,NY,COM,2021-05-06,09:33P,NGHT PKG ON RESID STR-COMM VEH,65.0,104.0,Q
T659384C,NY,OMT,2021-05-14,08:34A,OBSTRUCTING DRIVEWAY,95.0,34.0,NY
269NIX,FL,PAS,2021-05-07,08:30A,NO PARKING-STREET CLEANING,65.0,79.0,K
1095ID,ME,PAS,2021-05-01,10:35A,FIRE HYDRANT,115.0,75.0,K
013675T,NJ,PAS,2021-05-07,08:51A,NO PARKING-STREET CLEANING,65.0,107.0,Q
FBK9791,NY,PAS,2021-05-01,09:18A,FIRE HYDRANT,115.0,75.0,K
KZJ8452,PA,PAS,2021-05-01,10:23A,FIRE HYDRANT,115.0,75.0,K
FYT3502,NY,PAS,2021-05-01,07:21A,SIDEWALK,115.0,102.0,Q
ECM4066,NY,PAS,2021-04-28,10:40A,NO PARKING-STREET CLEANING,65.0,107.0,Q
T782364C,NY,OMT,2021-05-01,07:30A,CROSSWALK,115.0,107.0,Q
DXB580,GA,PAS,2021-05-01,08:07A,NO PARKING-STREET CLEANING,65.0,103.0,Q
2696308,IN,PAS,2021-05-05,07:31A,NO STANDING-DAY/TIME LIMITS,115.0,113.0,Q
2696308,IN,PAS,2021-05-06,07:25A,NO STANDING-DAY/TIME LIMITS,115.0,113.0,Q
EWS3420,NY,PAS,2021-03-20,02:47P,NO PARKING-DAY/TIME LIMITS,0.0,71.0,K
2896170,IL,PAS,2021-11-20,10:18A,OBSTRUCTING DRIVEWAY,0.0,70.0,K
JJX7756,NY,PAS,2021-05-06,10:38A,NO PARKING-STREET CLEANING,65.0,107.0,Q
JMM8661,NY,PAS,2021-05-14,06:40A,NO STANDING-DAY/TIME LIMITS,115.0,107.0,Q
HRS2674,NY,PAS,2021-05-07,08:47A,NO PARKING-STREET CLEANING,65.0,107.0,Q
JFG3676,NY,PAS,2021-05-07,09:49A,NO PARKING-STREET CLEANING,65.0,103.0,Q
EVR2733,NY,PAS,2021-05-07,10:45A,NO PARKING-STREET CLEANING,65.0,107.0,Q
JHU,NY,PAS,2021-05-08,06:32A,FIRE HYDRANT,115.0,103.0,Q
HNH9029,NY,PAS,2021-05-08,07:20A,NO STANDING-DAY/TIME LIMITS,115.0,102.0,Q
JHV6611,NY,PAS,2021-11-10,05:21P,FRONT OR BACK PLATE MISSING,0.0,63.0,K
FRG6933,NY,PAS,2021-01-23,09:37P,SAFETY ZONE,0.0,32.0,NY
BCW2271,NY,PAS,2021-05-08,07:51A,FAIL TO DSPLY MUNI METER RECPT,35.0,19.0,NY
7NNK686,CA,PAS,2021-05-08,08:02A,FAIL TO DSPLY MUNI METER RECPT,35.0,19.0,NY
KLB1364,NY,OMS,2021-05-13,07:51A,NO STANDING-EXC. TRUCK LOADING,95.0,19.0,NY
HFG8173,NY,PAS,2021-01-16,02:41P,BUS LANE VIOLATION,75.0,0.0,MN
HUC4900,NY,PAS,2021-01-16,02:58P,BUS LANE VIOLATION,75.0,0.0,MN
GWJ6688,NY,PAS,2021-01-03,12:35P,BUS LANE VIOLATION,75.0,0.0,MN
APXCEO,VA,PAS,2021-01-03,05:00P,BUS LANE VIOLATION,75.0,0.0,MN
GTK4203,NY,PAS,2021-01-03,07:27P,BUS LANE VIOLATION,50.0,0.0,BX
T724139C,NY,OMT,2021-01-03,07:27P,BUS LANE VIOLATION,50.0,0.0,MN
HWL9838,NY,PAS,2021-01-04,11:25A,BUS LANE VIOLATION,125.0,0.0,MN
LKK5739,PA,PAS,2021-01-04,01:05P,BUS LANE VIOLATION,75.0,0.0,BX
KER4723,NY,PAS,2021-01-04,02:37P,BUS LANE VIOLATION,125.0,0.0,MN
T704352C,NY,OMT,2021-01-16,08:16P,BUS LANE VIOLATION,75.0,0.0,BK
U97LKF,NJ,PAS,2021-01-04,07:25P,BUS LANE VIOLATION,50.0,0.0,MN
HGU7552,NY,PAS,2021-01-06,05:17P,BUS LANE VIOLATION,125.0,0.0,MN
KDR9782,NY,PAS,2021-01-07,07:53A,BUS LANE VIOLATION,125.0,0.0,BK
101142,NY,STA,2021-01-07,10:30A,BUS LANE VIOLATION,50.0,0.0,MN
T763239C,NY,OMT,2021-01-07,01:07P,BUS LANE VIOLATION,50.0,0.0,MN
JBN3221,NY,PAS,2021-01-08,11:08A,BUS LANE VIOLATION,75.0,0.0,BK
EKK1921,NY,PAS,2021-01-08,01:36P,BUS LANE VIOLATION,75.0,0.0,MN
LKK5739,PA,PAS,2021-01-08,03:31P,BUS LANE VIOLATION,75.0,0.0,BX
CL0110,NY,SRF,2021-01-08,05:44P,BUS LANE VIOLATION,75.0,0.0,BK
HJY7581,NY,PAS,2021-01-09,06:08A,BUS LANE VIOLATION,175.0,0.0,MN
EJF6000,NY,PAS,2021-01-09,09:31A,BUS LANE VIOLATION,75.0,0.0,MN
KDP1028,NY,PAS,2021-01-10,03:20P,BUS LANE VIOLATION,75.0,0.0,MN
V284ZE,NY,PAS,2021-01-10,04:32P,BUS LANE VIOLATION,50.0,0.0,MN
JEX2116,NY,PAS,2021-01-11,07:49A,BUS LANE VIOLATION,75.0,0.0,BK
KDP1028,NY,PAS,2021-01-11,04:23P,BUS LANE VIOLATION,75.0,0.0,MN
BB3979,NY,PSD,2021-01-12,08:58A,BUS LANE VIOLATION,50.0,0.0,BK
H10LLE,NJ,PAS,2021-01-12,04:49P,BUS LANE VIOLATION,50.0,0.0,BK
KDJ1108,NY,PAS,2021-01-12,06:11P,BUS LANE VIOLATION,75.0,0.0,BK
LJE8041,PA,PAS,2021-01-12,07:34P,BUS LANE VIOLATION,75.0,0.0,BK
X42HUU,NJ,PAS,2021-01-13,12:44P,BUS LANE VIOLATION,75.0,0.0,MN
JGA7503,NY,PAS,2021-01-13,03:45P,BUS LANE VIOLATION,75.0,0.0,QN
T689644C,NY,OMT,2021-01-13,04:46P,BUS LANE VIOLATION,125.0,0.0,BX
KER4496,NY,PAS,2021-01-14,12:41P,BUS LANE VIOLATION,75.0,0.0,MN
JBB5663,NY,PAS,2021-01-14,01:03P,BUS LANE VIOLATION,75.0,0.0,BK
JPA5830,NY,PAS,2021-01-14,01:27P,BUS LANE VIOLATION,125.0,0.0,MN
LKK5739,PA,PAS,2021-01-14,02:30P,BUS LANE VIOLATION,75.0,0.0,BX
JRZ3180,NY,PAS,2021-01-14,06:33P,BUS LANE VIOLATION,75.0,0.0,BX
EXN3505,NY,PAS,2021-01-15,08:01A,BUS LANE VIOLATION,75.0,0.0,BK
LKK5739,PA,PAS,2021-01-15,01:12P,BUS LANE VIOLATION,75.0,0.0,BX
INZX91,FL,PAS,2021-01-15,01:29P,BUS LANE VIOLATION,50.0,0.0,BX
JRV7416,NY,PAS,2021-01-15,03:08P,BUS LANE VIOLATION,75.0,0.0,BX
W82KBG,NJ,PAS,2021-01-14,07:30P,BUS LANE VIOLATION,175.0,0.0,BK
ERL9454,NY,PAS,2021-01-15,06:26P,BUS LANE VIOLATION,75.0,0.0,BX
51281NA,NY,COM,2021-01-16,10:41A,BUS LANE VIOLATION,75.0,0.0,MN
EBJ1263,NY,PAS,2021-01-16,02:36P,BUS LANE VIOLATION,75.0,0.0,BX
NGUA21,FL,PAS,2021-01-17,04:13P,BUS LANE VIOLATION,50.0,0.0,MN
GDE8057,NY,PAS,2021-01-17,06:34P,BUS LANE VIOLATION,75.0,0.0,MN
KJA5278,NY,PAS,2021-01-17,07:06P,BUS LANE VIOLATION,0.0,0.0,MN
21983ML,NY,COM,2021-01-19,09:56A,BUS LANE VIOLATION,125.0,0.0,MN
JJC1294,NY,PAS,2021-01-19,11:31A,BUS LANE VIOLATION,125.0,0.0,MN
JGJ7721,NY,PAS,2021-01-19,04:00P,BUS LANE VIOLATION,75.0,0.0,MN
AJ77892,AZ,PAS,2021-01-19,08:41A,BUS LANE VIOLATION,150.0,0.0,MN
HDG6622,NY,PAS,2021-01-19,05:56P,BUS LANE VIOLATION,75.0,0.0,MN
HNP1039,NY,PAS,2021-01-19,06:19P,BUS LANE VIOLATION,75.0,0.0,BK
KHV7240,NY,PAS,2021-01-20,12:07P,BUS LANE VIOLATION,75.0,0.0,BK
JKN5052,NY,PAS,2021-01-20,12:49P,BUS LANE VIOLATION,75.0,0.0,BK
JMK8893,NY,PAS,2021-01-20,01:43P,BUS LANE VIOLATION,75.0,0.0,BX
JRG7528,NY,PAS,2021-01-20,04:23P,BUS LANE VIOLATION,50.0,0.0,BX
T754795C,NY,OMT,2021-01-20,04:35P,BUS LANE VIOLATION,125.0,0.0,BK
KDF5672,NY,PAS,2021-01-20,05:42P,BUS LANE VIOLATION,50.0,0.0,BX
GVL6067,NY,PAS,2021-01-21,06:59A,BUS LANE VIOLATION,175.0,0.0,BX
HWU9979,NY,PAS,2021-01-21,01:14P,BUS LANE VIOLATION,75.0,0.0,BK
H11MUB,NJ,PAS,2021-01-21,01:20P,BUS LANE VIOLATION,125.0,0.0,BK
